,from,to,period,all_period_flow,female_period_flow,male_period_flow,period_year
11941,Lebanon,United Kingdom,1.0,8,4.0,4.0,1998-2002
8858,India,Kenya,1.0,6,0.0,5.0,1998-2002
4089,China,Cuba,1.0,1,0.0,1.0,1998-2002
15840,Poland,Georgia,1.0,1,1.0,0.0,1998-2002
13500,Nepal,Denmark,1.0,3,0.0,3.0,1998-2002
4085,China,Croatia,1.0,1,0.0,1.0,1998-2002
8862,India,Kuwait,1.0,18,3.0,14.0,1998-2002
4081,China,Colombia,1.0,2,0.0,2.0,1998-2002
15843,Poland,Germany,1.0,125,25.0,99.0,1998-2002
8869,India,Lesotho,1.0,1,0.0,1.0,1998-2002
4077,China,Chile,1.0,1,0.0,1.0,1998-2002
13494,Nepal,Canada,1.0,2,1.0,1.0,1998-2002
8871,India,Libya,1.0,2,0.0,2.0,1998-2002
22161,United States,Argentina,1.0,233,63.0,169.0,1998-2002
18485,South Korea,New Zealand,1.0,2,1.0,1.0,1998-2002
4071,China,Canada,1.0,325,76.0,224.0,1998-2002
15847,Poland,Ghana,1.0,1,1.0,0.0,1998-2002
15850,Poland,Greece,1.0,3,0.0,3.0,1998-2002
20703,Tunisia,Belarus,1.0,1,0.0,1.0,1998-2002
8876,India,Luxembourg,1.0,1,1.0,0.0,1998-2002
8855,India,Kazakhstan,1.0,1,0.0,1.0,1998-2002
4095,China,Czechia,1.0,4,0.0,4.0,1998-2002
20710,Tunisia,Brazil,1.0,3,0.0,3.0,1998-2002
13509,Nepal,Guinea-Bissau,1.0,1,0.0,1.0,1998-2002
4119,China,France,1.0,92,10.0,70.0,1998-2002
8837,India,Israel,1.0,40,11.0,25.0,1998-2002
4115,China,Finland,1.0,22,4.0,13.0,1998-2002
8841,India,Italy,1.0,47,13.0,34.0,1998-2002
15825,Poland,Egypt,1.0,4,0.0,4.0,1998-2002
13505,Nepal,Germany,1.0,1,0.0,1.0,1998-2002
4110,China,Estonia,1.0,1,0.0,1.0,1998-2002
19210,Sweden,Austria,1.0,23,4.0,19.0,1998-2002
8847,India,Japan,1.0,202,29.0,147.0,1998-2002
4106,China,Egypt,1.0,1,1.0,0.0,1998-2002
15832,Poland,Finland,1.0,8,2.0,6.0,1998-2002
22154,United States,Algeria,1.0,2,0.0,2.0,1998-2002
4100,China,Denmark,1.0,40,11.0,26.0,1998-2002
8852,India,Jordan,1.0,1,0.0,1.0,1998-2002
15836,Poland,France,1.0,83,28.0,54.0,1998-2002
20704,Tunisia,Belgium,1.0,2,0.0,2.0,1998-2002
22148,United Kingdom,Zimbabwe,1.0,15,5.0,10.0,1998-2002
